"","samplesize","cauchywithin","cauchybetween"
"1",30,0.0627532362472478,0.10077637615778
"2",32,0.0607784816178962,0.0984737200917811
"3",34,0.0589749797839347,0.0963443141771791
"4",36,0.0573189577079916,0.0943652589429964
"5",38,0.0557910885749164,0.0925179128943929
"6",40,0.0543754527441029,0.0907868957212268
"7",42,0.0530588030444497,0.0891593673884845
"8",44,0.0518300082027157,0.0876244961503767
"9",46,0.0506796331828343,0.0861730591803496
"10",48,0.0495996168715105,0.0847971379564556
"11",50,0.0485830059630188,0.0834898826727768
"12",52,0.0476238206587098,0.082245327670287
"13",54,0.0467168183306648,0.0810582451695536
"14",56,0.0458574162299836,0.0799240281519098
"15",58,0.0450415875930852,0.0788385956359297
"16",60,0.0442657449208936,0.0777983154461048
"17",62,0.0435267336656855,0.0767999406603432
"18",64,0.0428214066391601,0.0758405569814968
"19",66,0.0421481934450347,0.0749175388146939
"20",68,0.0415038573102351,0.074028512378125
"21",70,0.0408866680136923,0.0731713245495103
"22",72,0.0402947722033615,0.0723440233449626
"23",74,0.0397264905301014,0.0715448102309064
"24",76,0.0391802974383493,0.0707720517418249
"25",78,0.0386548187669975,0.0700242494398713
"26",80,0.0381487767470288,0.0693000251587721
"27",82,0.0376610029075954,0.0685981087083773
"28",84,0.0371905765607032,0.0679173270535045
"29",86,0.0367362362734047,0.0672565947555848
"30",88,0.0362972073511965,0.0666149055374832
"31",90,0.0358726533616995,0.0659913248400903
"32",92,0.035461800580185,0.0653849832154658
"33",94,0.035063932050039,0.0647950809318858
"34",96,0.0346783823249164,0.0642208360205911
"35",98,0.0343044095266065,0.0636615591909382
"36",100,0.0339416950060085,0.0631165878759474
"37",102,0.0335895584555539,0.0625853013826339
"38",104,0.0332475074318255,0.0620671173604392
"39",106,0.032915072826772,0.0615614886741378
"40",108,0.0325918171909916,0.0610679006078059
"41",110,0.0322773280884767,0.0605858683583085
"42",112,0.031971220083558,0.0601149347745358
"43",114,0.0316731479019234,0.0596546683084387
"44",116,0.0313828235665896,0.0592046611569121
"45",118,0.0310997642480375,0.0587645408456161
"46",120,0.0308237535791389,0.0583339095861688
"47",122,0.0305545026804646,0.0579124431200739
"48",124,0.0302917376708791,0.0574998120567103
"49",126,0.0300352182741506,0.0570957040467759
"50",128,0.0297846945278775,0.0566998225329793
"51",130,0.0295400999021247,0.0563117127759165
"52",132,0.0293009441880991,0.0559314860782514
"53",134,0.0290671417778685,0.0555587099701018
"54",136,0.0288384980040997,0.0551930853843647
"55",138,0.0286148279828362,0.0548343902599315
"56",140,0.0283959559911184,0.0544824098031338
"57",142,0.0281817113224636,0.0541369367978806
"58",144,0.0279719400822438,0.0537977717524205
"59",146,0.0277664883531492,0.0534647229019174
"60",148,0.0275652115351268,0.0531376061198636
"61",150,0.0273679716952568,0.0528162447431686
"62",152,0.0271746371838182,0.0525004935710829
